iter	Passed	Remaining
1762	3018	4084
1763	3020	4083
1764	3021	4081
1765	3023	4079
1766	3025	4078
1767	3026	4076
1768	3028	4074
1769	3030	4072
1770	3032	4071
1771	3033	4069
1772	3035	4067
1773	3037	4066
1774	3038	4064
1775	3040	4062
1776	3042	4060
1777	3043	4058
1778	3045	4057
1779	3047	4055
1780	3049	4054
1781	3050	4052
1782	3052	4050
1783	3054	4048
1784	3055	4047
1785	3057	4045
1786	3059	4043
1787	3061	4042
1788	3062	4040
1789	3064	4038
1790	3066	4037
1791	3067	4035
1792	3069	4033
1793	3071	4031
1794	3073	4030
1795	3074	4028
1796	3076	4026
1797	3078	4024
1798	3079	4022
1799	3081	4021
1800	3083	4019
1801	3084	4017
1802	3086	4015
1803	3088	4014
1804	3090	4012
1805	3091	4010
1806	3093	4009
1807	3094	4007
1808	3096	4005
1809	3098	4004
1810	3099	4002
1811	3101	4000
1812	3103	3998
1813	3105	3996
1814	3106	3995
1815	3108	3993
1816	3110	3991
1817	3111	3989
1818	3113	3987
1819	3114	3986
1820	3116	3984
1821	3118	3982
1822	3120	3980
1823	3121	3979
1824	3123	3977
1825	3125	3975
1826	3126	3974
1827	3128	3972
1828	3130	3970
1829	3131	3968
1830	3133	3966
1831	3135	3965
1832	3136	3963
1833	3138	3961
1834	3140	3959
1835	3141	3958
1836	3143	3956
1837	3145	3954
1838	3146	3952
1839	3148	3950
1840	3150	3949
1841	3151	3947
1842	3153	3945
1843	3155	3944
1844	3157	3942
1845	3158	3940
1846	3160	3939
1847	3162	3937
1848	3164	3936
1849	3166	3934
1850	3167	3932
1851	3169	3930
1852	3171	3929
1853	3172	3927
1854	3174	3926
1855	3176	3924
1856	3178	3922
1857	3179	3920
1858	3181	3918
1859	3183	3917
1860	3184	3915
1861	3186	3913
1862	3187	3911
1863	3189	3909
1864	3191	3908
1865	3193	3906
1866	3194	3905
1867	3196	3903
1868	3198	3901
1869	3199	3899
1870	3201	3897
1871	3203	3896
1872	3204	3894
1873	3206	3892
1874	3207	3890
1875	3209	3888
1876	3211	3887
1877	3212	3885
1878	3214	3883
1879	3216	3881
1880	3217	3879
1881	3219	3878
1882	3221	3876
1883	3222	3874
1884	3224	3872
1885	3226	3871
1886	3228	3869
1887	3229	3867
1888	3231	3866
1889	3232	3864
1890	3234	3862
1891	3236	3860
1892	3238	3859
1893	3240	3857
1894	3241	3855
1895	3243	3854
1896	3244	3852
1897	3246	3850
1898	3248	3848
1899	3249	3846
1900	3251	3845
1901	3253	3843
1902	3255	3841
1903	3257	3840
1904	3258	3838
1905	3260	3837
1906	3262	3835
1907	3264	3833
1908	3265	3831
1909	3267	3830
1910	3269	3828
1911	3280	3838
1912	3283	3837
1913	3285	3837
1914	3288	3836
1915	3291	3835
